exp,date,jobdate,metadata1,imageid,filename,frame,parameter,roi,frame_avg,yii_avg,npq_avg,yii_std,npq_std,obj_in_frame,unique_roi,gtype
exp2,2019-04-23,2019-04-23,2,10,data/pimframes/exp2-20190423-2-10.tif,Fmp,Y2_ALon,1,24.3933,9.4424,1.2442,28.3979,0.6993,True,True,kead1
exp2,2019-04-23,2019-04-23,2,10,data/pimframes/exp2-20190423-2-10.tif,Fmp,Y2_ALon,2,27.7600,5.1789,0.7725,21.6952,0.4854,True,True,gun1
exp2,2019-04-23,2019-04-23,2,10,data/pimframes/exp2-20190423-2-10.tif,Fmp,Y2_ALon,3,30.1075,5.2892,0.6234,18.8552,0.3890,True,True,triple
exp2,2019-04-23,2019-04-23,2,11,data/pimframes/exp2-20190423-2-11.tif,Fp,Y3_ALon,0,16.1378,1.3325,0.1849,12.7079,0.2794,True,True,WT
exp2,2019-04-23,2019-04-23,2,11,data/pimframes/exp2-20190423-2-11.tif,Fp,Y3_ALon,1,25.3644,1.8258,0.3398,15.9150,0.3717,True,True,kead1
exp2,2019-04-23,2019-04-23,2,11,data/pimframes/exp2-20190423-2-11.tif,Fp,Y3_ALon,2,16.5069,1.3732,0.1934,13.0191,0.2888,True,True,gun1
exp2,2019-04-23,2019-04-23,2,11,data/pimframes/exp2-20190423-2-11.tif,Fp,Y3_ALon,3,17.4822,1.3738,0.1810,12.6462,0.3057,True,True,triple
exp2,2019-04-23,2019-04-23,2,12,data/pimframes/exp2-20190423-2-12.tif,Fmp,Y3_ALon,0,41.0108,1.3325,0.1849,12.7079,0.2794,True,True,WT
exp2,2019-04-23,2019-04-23,2,12,data/pimframes/exp2-20190423-2-12.tif,Fmp,Y3_ALon,1,41.1501,1.8258,0.3398,15.9150,0.3717,True,True,kead1
exp2,2019-04-23,2019-04-23,2,12,data/pimframes/exp2-20190423-2-12.tif,Fmp,Y3_ALon,2,40.9150,1.3732,0.1934,13.0191,0.2888,True,True,gun1
exp2,2019-04-23,2019-04-23,2,12,data/pimframes/exp2-20190423-2-12.tif,Fmp,Y3_ALon,3,41.6561,1.3738,0.1810,12.6462,0.3057,True,True,triple
exp2,2019-04-23,2019-04-23,2,13,data/pimframes/exp2-20190423-2-13.tif,Fp,Y4_ALon,0,20.0562,3.7568,1.1757,21.0344,0.5924,True,True,WT
exp2,2019-04-23,2019-04-23,2,13,data/pimframes/exp2-20190423-2-13.tif,Fp,Y4_ALon,1,21.4571,7.6470,1.4659,25.7139,0.7985,True,True,kead1
exp2,2019-04-23,2019-04-23,2,13,data/pimframes/exp2-20190423-2-13.tif,Fp,Y4_ALon,2,20.0223,3.9584,1.1973,21.2438,0.6070,True,True,gun1
exp2,2019-04-23,2019-04-23,2,13,data/pimframes/exp2-20190423-2-13.tif,Fp,Y4_ALon,3,22.3112,4.5068,1.0627,20.1210,0.5571,True,True,triple
exp2,2019-04-23,2019-04-23,2,14,data/pimframes/exp2-20190423-2-14.tif,Fmp,Y4_ALon,0,22.5630,3.7568,1.1757,21.0344,0.5924,True,True,WT
exp2,2019-04-23,2019-04-23,2,14,data/pimframes/exp2-20190423-2-14.tif,Fmp,Y4_ALon,1,22.2393,7.6470,1.4659,25.7139,0.7985,True,True,kead1
exp2,2019-04-23,2019-04-23,2,14,data/pimframes/exp2-20190423-2-14.tif,Fmp,Y4_ALon,2,22.4350,3.9584,1.1973,21.2438,0.6070,True,True,gun1
exp2,2019-04-23,2019-04-23,2,14,data/pimframes/exp2-20190423-2-14.tif,Fmp,Y4_ALon,3,23.8999,4.5068,1.0627,20.1210,0.5571,True,True,triple
exp2,2019-04-23,2019-04-23,2,15,data/pimframes/exp2-20190423-2-15.tif,Fp,Y5_ALon,0,16.6441,3.4882,1.4842,20.9811,0.6641,True,True,WT
exp2,2019-04-23,2019-04-23,2,15,data/pimframes/exp2-20190423-2-15.tif,Fp,Y5_ALon,1,19.2864,7.3878,1.6842,26.4745,0.8682,True,True,kead1
exp2,2019-04-23,2019-04-23,2,15,data/pimframes/exp2-20190423-2-15.tif,Fp,Y5_ALon,2,16.6706,3.7404,1.5066,21.4795,0.6900,True,True,gun1
exp2,2019-04-23,2019-04-23,2,15,data/pimframes/exp2-20190423-2-15.tif,Fp,Y5_ALon,3,18.1034,4.4901,1.4672,19.9795,0.6742,True,True,triple
exp2,2019-04-23,2019-04-23,2,16,data/pimframes/exp2-20190423-2-16.tif,Fmp,Y5_ALon,0,19.6536,3.4882,1.4842,20.9811,0.6641,True,True,WT
exp2,2019-04-23,2019-04-23,2,16,data/pimframes/exp2-20190423-2-16.tif,Fmp,Y5_ALon,1,20.3688,7.3878,1.6842,26.4745,0.8682,True,True,kead1
exp2,2019-04-23,2019-04-23,2,16,data/pimframes/exp2-20190423-2-16.tif,Fmp,Y5_ALon,2,19.5656,3.7404,1.5066,21.4795,0.6900,True,True,gun1
exp2,2019-04-23,2019-04-23,2,16,data/pimframes/exp2-20190423-2-16.tif,Fmp,Y5_ALon,3,20.0005,4.4901,1.4672,19.9795,0.6742,True,True,triple
exp2,2019-04-23,2019-04-23,2,17,data/pimframes/exp2-20190423-2-17.tif,Fp,Y6_ALon,0,15.4106,3.1211,1.5700,20.9404,0.7368,True,True,WT
exp2,2019-04-23,2019-04-23,2,17,data/pimframes/exp2-20190423-2-17.tif,Fp,Y6_ALon,1,18.6867,6.8446,1.7088,26.6842,0.9178,True,True,kead1
exp2,2019-04-23,2019-04-23,2,17,data/pimframes/exp2-20190423-2-17.tif,Fp,Y6_ALon,2,15.4527,3.3126,1.5913,21.0134,0.7481,True,True,gun1
exp2,2019-04-23,2019-04-23,2,17,data/pimframes/exp2-20190423-2-17.tif,Fp,Y6_ALon,3,16.6729,3.7592,1.5765,17.8917,0.7296,True,True,triple
exp2,2019-04-23,2019-04-23,2,18,data/pimframes/exp2-20190423-2-18.tif,Fmp,Y6_ALon,0,19.0165,3.1211,1.5700,20.9404,0.7368,True,True,WT
exp2,2019-04-23,2019-04-23,2,18,data/pimframes/exp2-20190423-2-18.tif,Fmp,Y6_ALon,1,20.2855,6.8446,1.7088,26.6842,0.9178,True,True,kead1
exp2,2019-04-23,2019-04-23,2,18,data/pimframes/exp2-20190423-2-18.tif,Fmp,Y6_ALon,2,18.9319,3.3126,1.5913,21.0134,0.7481,True,True,gun1
exp2,2019-04-23,2019-04-23,2,18,data/pimframes/exp2-20190423-2-18.tif,Fmp,Y6_ALon,3,19.0350,3.7592,1.5765,17.8917,0.7296,True,True,triple
exp2,2019-04-23,2019-04-23,2,19,data/pimframes/exp2-20190423-2-19.tif,Fp,Y7_ALon,0,14.6045,2.9634,1.6333,20.3144,0.7827,True,True,WT
exp2,2019-04-23,2019-04-23,2,19,data/pimframes/exp2-20190423-2-19.tif,Fp,Y7_ALon,1,18.4809,6.5382,1.6651,27.2077,0.9360,True,True,kead1
exp2,2019-04-23,2019-04-23,2,19,data/pimframes/exp2-20190423-2-19.tif,Fp,Y7_ALon,2,14.6575,3.1290,1.6526,20.4253,0.7929,True,True,gun1
exp2,2019-04-23,2019-04-23,2,19,data/pimframes/exp2-20190423-2-19.tif,Fp,Y7_ALon,3,15.9537,3.5720,1.6329,19.4879,0.9138,True,True,triple
